0 40112.743560305884 32344.378942056504 36059.66240986048
2 40157.80002685197 34537.502336981626 37483.047801621185
3 40529.02036332294 34978.015087373235 38036.272910083004
6 40817.4701636935 36714.172272505166 39044.74580146592
7 41044.17451861983 37207.54887731138 39290.57043780708
9 41157.03844504531 37974.630576785785 39667.65502467378
10 41477.743102367254 37334.07114679071 39878.053099504854
11 41497.03018435425 37986.06853773485 40097.733151933135
12 41673.620345588 38341.919228900144 40281.29655998125
13 41956.64507156866 38293.868843395336 40474.196371067155
14 42191.460772416096 38500.987254594955 40614.83536868559
16 42206.680436463954 39283.09374078033 40975.92472094825
17 42505.84536281169 38520.688698385464 41142.336035471104
19 42638.49835562974 39193.41819772168 41436.74148920048
20 42841.867081129305 39762.70213659732 41544.68006353875
21 43079.22408866605 39690.97004465581 41711.90435451002
22 43220.65443568622 39771.90965814932 41800.181457309496
23 43468.52267642466 39598.22819602558 41934.033835220005
25 43672.46863257319 39992.78783000364 42191.34862566422
26 43763.245650554505 40291.21112707256 42301.304326641
29 43935.79029873803 40531.81999630262 42560.957725332904
30 43956.15472172137 40406.80040801553 42652.98026107601
31 44341.33405025056 40633.55797009675 42779.48256948023
32 44344.59049800578 40775.77796776082 42899.61005090768
33 44401.002868909636 40805.90082437182 42959.34974548399
34 44448.30889777502 40890.083789732795 43066.96731411162
35 44493.520119955545 40979.53815199836 43181.77694016646
36 44543.0285563399 41290.304362254195 43309.867469947225
37 44619.07010787169 41194.28834968133 43419.44498810965
38 44622.2253490764 41070.94887630139 43516.422733326326
39 44774.908695106875 41868.78830691725 43619.67341443219
42 44778.53394406631 41664.17401737781 43812.89150673332
43 44800.92072440574 42159.22582250641 43849.09040515243
44 45118.64299906886 41530.45679874248 43880.41523483403
46 45141.37344349959 41705.42485089976 43995.127772500346
50 45399.476073952 41925.76646069488 44191.59359910966
53 45601.07444880453 42015.214027411115 44354.55326027851
56 45637.97716866272 42365.10249655334 44491.03366160318
57 45644.680722989666 42383.21845205047 44522.20673700746
59 45705.65403310135 42782.96258492484 44628.23786993238
60 45836.63788078636 42379.849799021 44697.21117154133
62 46064.240648359555 42318.02800401351 44766.73990749264
64 46091.101254436726 42481.143146519564 44867.863857106015
68 46279.65820035589 43029.06222734267 45032.15913627866
71 46392.595504688725 43122.03171230385 45131.974884711446
74 46536.06154652723 43148.03277746422 45287.59054519259
75 46554.11706714479 43359.79926949393 45316.65776990372
80 46562.58911233541 43336.1899564741 45515.471582734564
81 46584.075571373105 43403.36068246959 45537.43114471345
82 46606.52928955085 43508.935251181814 45578.14564337354
83 46792.60138407375 43464.28411874218 45619.028414804096
87 46829.49895697385 43211.93603656879 45755.1090819521
